Государство/регион;Город;Население;X_Лиаверн_км;Y_Лиаверн_км
Нерайская Лига;Ливей;6425;3957.5;610.1
Нерайская Лига;Терела;5880;3899.6;288.6
Нерайская Лига;Нарасса;5673;3392.8;457.5
Нерайская Лига;Сарин;5637;3727.4;334.0
Нерайская Лига;Севара;5613;3787.3;731.9
Нерайская Лига;Арунира;5093;4040.3;356.1
Нерайская Лига;Орилори;4550;3762.0;248.8
Нерайская Лига;Лари;4423;4166.1;516.0
Нерайская Лига;Ретано;4104;3631.8;457.2
Нерайская Лига;Кавей;4064;3543.1;663.6
Нерайская Лига;Милина;4052;4152.0;495.4
Нерайская Лига;Невара;3939;3858.5;301.0
Нерайская Лига;Иререла;3763;4099.3;511.7
Нерайская Лига;Варела;3720;3607.0;317.9
Нерайская Лига;Эласса;3690;4109.6;678.6
Нерайская Лига;Тейлена;3368;3730.3;578.3
Нерайская Лига;Орарона;3030;3923.5;678.6
Нерайская Лига;Лилано;3000;4196.3;486.0
Нерайская Лига;Тевири;3000;3795.9;403.3
Нерайская Лига;Налина;3000;4149.4;431.5
Нерайская Лига;Сарела;3000;3666.5;292.1
Нерайская Лига;Танира;3000;3782.3;420.0
Нерайская Лига;Арурасса;3000;3563.7;328.8
Нерайская Лига;Оривей;3000;3754.6;418.8
Нерайская Лига;Лавара;3000;3564.3;384.3
